S.No.,Name,Email,District,Address,Phone,Medium
54,"Government Girls P.G College, Baran",girlscollegebaran@yahoo.com,Baran,Hospital road Baran,9414313461,Both (Hindi & English)
55,"Government College, Nimbahera",college.nimbahera@gmail.com,Chittorgarh,"Chittorgarh Bye Pass Road,Nimbahera",9413048096,Both (Hindi & English)
56,"Government Girls P.G. College, Jhalawar",govt.girlscollegejhalawar@yahoo.in,Jhalawar,Govt.Girls P.G. College Jhalawar,9982354904,Both (Hindi & English)
57,"M.L.B. Government College, Nokha",mlbgcnokha@gmail.com,Bikaner,"M.L.B. Govt. College, N.H.-89, Bikaner Road, Nokha (Bikaner)",9413372504,Both (Hindi & English)
58,"Government Girls College, Dausa",girlscollegedausa@gmail.com,Dausa,"GUPTESHWAR ROAD,DAUSA.303303.(RAJ.) INDIA.",9829886655,Both (Hindi & English)
59,"Birla Government College, Bhawani Mandi",gbcb_bwm@yahoo.in,Jhalawar,"Jhalawar Road, Bhawani Mandi",9414206230,Both (Hindi & English)
60,"S.R.P. Government College, Bandikui",srpgc.bandikui@yahoo.com,Dausa,BASWA ROAD BANDIKUI,9414337584,Both (Hindi & English)
61,"Government Girls College, Chomu",ggc_chomu@yahoo.com,Jaipur,"Behind Power House, Morija Road, Chomu",9414780202,Both (Hindi & English)
62,"Baba Gangadas Govt. Girls College, Shahpura",ggcshahpura@gmail.com,Jaipur,"Baba Gangadas Govt. Girls College, Shahpura",9829011029,Both (Hindi & English)
63,"S.G.S.G. Government College, Nasirabad",sgsggcn@gmail.com,Ajmer,"Beawar Road, Nasirabad",9414007751,Both (Hindi & English)
64,"Govt. PG College, Rajgarh",principalgcrajgarh@ymail.com,Alwar,"Tehla Road, Near Railway Station, Rajgarh-301408",9414280324,Both (Hindi & English)
65,"S.C.R.S. Government College, Sawai Madhopur",gocolswm@gmail.com,Sawai Madhopur,"Near Railway Bridge, Sawai Madhopur",9414058105,Both (Hindi & English)
66,"SPM Govt. College Bhopalgarh, Jodhpur",gcbprincipal@gmail.com,Jodhpur,"Nadshar Road,Ratiya ki dhani",,Both (Hindi & English)
67,"Government College, Karauli",pgcollegekarauli@gmail.com,Karauli,Near Circuit House Karauli,9414314961,Both (Hindi & English)
68,"Government College, Barmer",gcbarmer1965@gmail.com,Barmer,Govt College Barmer infront FCI Barmer,9460950750,Both (Hindi & English)
69,"Government College, Suratgarh",gcsuratgarh@gmail.com,Sri Ganganagar,Near AIR Station NH-15 SURATGARH,9413932580,Both (Hindi & English)
70,"Government P.G. College, Kekri",governmentcollegekekri@gmail.com,Ajmer,"AJMER ROAD, KEKRI",9828326149,Both (Hindi & English)
71,"Haridev Joshi Govt. Girls College, Banswara",hdjgirlscollege@yahoo.com,Banswara,"Near Old Bus Stand, Banswara",9413945736,Both (Hindi & English)
72,"Government Girls College, Shadulshahar",rmmsds@gmail.com,Sri Ganganagar,NEAR BUS STAND,9352498444,Both (Hindi & English)
73,"S.K.D.L. Government Girls College, Ratangarh",girlscollegeratangarh@gmail.com,Churu,"CHURU ROAD, RATANGARH",9828414525,Both (Hindi & English)
74,"S.M.M. Government Girls College, Bhilwara",smmkanyacollege@yahoo.co.in,Bhilwara,"S M M GOVT GIRLS COLLEGE, BHILWARA 311001",9214804856,Both (Hindi & English)
75,"M.B.R. Govt. P G College, Balotra",mbrgcb@rediff.com,Barmer,"Jasol Pahnta, Balotra",9414295071,Both (Hindi & English)
76,"S.B.K. Government College, Jaisalmer",pgpracharya@ymail.co.in,Jaisalmer,"Barmer Road, Jaisalmer",8890570520,Both (Hindi & English)
77,"M. L. S. Govt. Girls P. G. College, Jaisalmer",gcjaisalmer@yahoo.in,Jaisalmer,"Dedansar Road, Jaisalmer",9460606064,Both (Hindi & English)
78,"Rajesh Pilot Govt. P.G. College, Lalsot",rpgclalsot@gmail.com,Dausa,"Rajesh Pilot Govt. P.G. College, Lalsot",9413051553,Both (Hindi & English)
79,"Government College, Kherwara",kherwaragovtcollege@yahoo.in,Udaipur,"Khandi Oberi, Upla Fala, Kherwara",9530075390,Both (Hindi & English)
80,"Government College, Gangapur City",principalggp@gmail.com,Sawai Madhopur,"Nadauti Road ,Gangapur City",9413504400,Both (Hindi & English)
81,"S.D.C.G.J. Government College, Behror",governmentcollegebehror@gmail.com,Alwar,Shri DCGJ Govt. College Behror,9414638450,Both (Hindi & English)
82,Govt.Shakambhar P.G. College Sambharlake,gcslake_raj24@yahoo.com,Jaipur,Govt. Shakambhar P.G.College Sambhar-lake Distt.-Jaipur(RAJ.),9414251333,Both (Hindi & English)
83,"J.N.M.P. Government College, Phalodi",govtcollegephalodi@gmail.com,Jodhpur,NEAR S.D.M. OFFICE PHALODI,9982282330,Both (Hindi & English)
84,"V. K. B. Government Girls College, Dungarpur",vkbcollegedpr@gmail.com,Dungarpur,"Behind New Sabji Mandi, Dungarpur",9414307305,Both (Hindi & English)
85,"BND Government College, Chimanpura (Science & Commerce)",bndcollege2015@gmail.com,Jaipur,Jaipur,9829772208,Both (Hindi & English)
86,"Government College, Dausa (Science & Commerce) (PNKS)",gpgsccdausa@gmail.com,Dausa,Dausa,9414775343,Both (Hindi & English)
87,"Govt. Commerce College, Alwar",gccalwar@gmail.com,Alwar,Alwar,9414679990,Both (Hindi & English)
88,"Govt. Commerce College, Sikar",comcollegesikar@gmail.com,Sikar,Sikar,9314293512,Both (Hindi & English)
89,"Government Commerce Girls College, Kota",rvanijyakm@gmail.com,Kota,Kota,9460680308,Both (Hindi & English)
90,"Seth Rang Lal Kothari Govt. P.G. College, Rajsamand",srkgovtcollegerajsamand@gmail.com,Rajsamand,"S.R.K. Government College, Rajsamand",9413024523,Both (Hindi & English)
91,"R.N.R. Government College, Ramgarh Shekhawati",rnruiagovtcollege@yahoo.com,Sikar,"Near Railway Station, Ramgarh Shekhawati",9460839624,Both (Hindi & English)
92,"Government Commerce College, Kota",gcc.kota31@gmail.com,Kota,"I.L. Circle, Talwandi, Kota",9414938931,Both (Hindi & English)
93,"G.H.S. Govt. P.G. College, Sujangarh",gcsujangarh@gmail.com,Churu,"Government College, Sujangarh",9352186102,Both (Hindi & English)
94,"S.G.P.B. Government Girls College, Pali",paligg.college@gmail.com,Pali,"Opp. Circuit House, Tegore Nagar, Pali",9928493676,Both (Hindi & English)
95,"Government College, Kota (Science)",principalsciencegckota@gmail.com,Kota,Kota,9414392275,Both (Hindi & English)
96,"SK Government College, Sikar (Science)",skgcsikar@gmail.com,Sikar,Sikar,9414831493,Both (Hindi & English)
97,"Raj Rishi Govt. College,Alwar",rrcalwar@gmail.com,Alwar,"Raj Rishi Govt. College, Alwar",9414240571,Both (Hindi & English)
98,"JDB Government Girls College, Kota (Science)",ggsckota@gmail.com,Kota,Kota,9352602303,Both (Hindi & English)
99,"M.B.C. Govt. Girls College, Barmer",mbcggc@gmail.com,Barmer,"M.B.C. Govt. Girls College, Barmer",9414351832,Both (Hindi & English)
100,"Government Girls College, Bundi",ggcbnd95@gmail.com,Bundi,"Lanka Gate Road, Bundi",8890885544,Both (Hindi & English)
101,"Government Girls College, Chittorgarh",girlscollegecor@gmail.com,Chittorgarh,"Sector-4, Gandhi Nagar, Chittorgarh",9414842716,Both (Hindi & English)
102,"S.S.B.B. Government College, Sagwara",govtcollegesagwara@yahoo.com,Dungarpur,"Laxmanpura, Galiakot Road, Sagwara",9461477700,Both (Hindi & English)
103,"Govt. College, Sojat City",govtcollegesojat@rediffmail.com,Pali,"Govt. College, Sojat City",9414912932,Both (Hindi & English)
104,"S.P.D.M. Government Girls College, Kotputli",pdmgovtgirlscollege@gmail.com,Jaipur,"N.H.08, Dabla Road, Kotputli-303108",9982275632,Both (Hindi & English)
105,"S.S.D.C.L.B. Government Girls College, Pipar City",gcpiparcity@gmail.com,Jodhpur,"Khejarda Road, Pipar City, Jodhpur",9414113259,Both (Hindi & English)
106,"Govt. Girls College, Sawai Madhopur",girlscollegeswm91@gmail.com,Sawai Madhopur,"Govt. Girls College, Sawai Madhopur",9414991868,Both (Hindi & English)
107,"Govt. Kamla Modi Girls College, Neem Ka Thana",ggcnkt298@rediffmail.com,Sikar,"Govt. K.M. Girls College, Neem Ka Thana",9414774064,Both (Hindi & English)
108,"Government Girls College, Tonk",govtgirlscollegetonk38@gmail.com,Tonk,"Gulzar Bagh, Tonk",9414257555,Both (Hindi & English)
109,Govt.Girls College Taranagar,govtgirlscollegetaranagar@gmail.com,Churu,Taranagar,9460265810,Both (Hindi & English)
110,"S.M.P.B.J. Government College, Sheoganj",govt.collegesheoganj@gmail.com,Sirohi,"Kesarpura Road, Sheoganj, Sirohi",9829014178,Both (Hindi & English)
111,GOVERNMENT COLLEGE JAITARAN,govtcollegejtr@gmail.com,Pali,"NIMAJ ROAD JAITARAN,Pali,Rajasthan",9460160377,Both (Hindi & English)
112,"Government Girls College, Sirohi",principalggcsirohi@gmail.com,Sirohi,"NEAR DOORDARSHAN RELAY KENDRA,SIROHI.",9887663143,Both (Hindi & English)
113,"D.R.J. Government Girls College, Balotra",govtgirlscollegebalotra@yahoo.in,Barmer,"OPPOSITE RAILWAY STATION, BALOTRA-344022",9413307717,Both (Hindi & English)
114,"M.J.D. Government College, Taranagar",mjdtaranagar@gmail.com,Churu,"NYR SATYU CIRCLE, TARANAGAR (CHURU) ",,Both (Hindi & English)
115,Hadarani govt. college salumber,h.r.g.college@gmail.com,Udaipur,"kargeta ,dal road behind police station , salumber",7023652425,Both (Hindi & English)
116,"Government College, Bhim",govtcollege_bhim@yahoo.com,Rajsamand,"Nandawat, Bhim",9928172450,Both (Hindi & English)
117,SHLD GOVT. COLLEGE AMET,govtcollegeametrajsamand@gmail.com,Rajsamand,"Deogarh Road , Amet",,Both (Hindi & English)
118,"S.S. Government College, Mandphiya",ssgcm1997@gmail.com,Chittorgarh,"MANDPHIYA , DISTRICT CHITTORGARH",9414557129,Both (Hindi & English)
119,Govt. College Kelwara,principal.gckelwara@gmail.com,Baran,Govt. College Near Subash circle Sitabadi Road Kelwara,,Both (Hindi & English)
120,"S.N.M.T. Government Girls College, Jhunjhunu",snmtggcjjn39131@gmail.com,Jhunjhunu,"BAGAR ROAD, JHUNJHUNU",9414744416,Both (Hindi & English)
121,MAMA BALESHWAR DAYAL GOVT. COLLEGE KUSHALGARH,mbdcollege21@yahoo.in,Banswara,"Kushalgarh, Banswara",9680397006,Both (Hindi & English)
122,"Government College, Ramganj Mandi",principalrmandi99@gmail.com,Kota,"Post- Pipakheri, Nimana Road ",9414275003,Both (Hindi & English)
123,"Govt. College, Kotra ",govtcollegekotra@gmail.com,Udaipur,Govt college Kotra Dist Udaipur,9460581487,Both (Hindi & English)
124,"Government College, Ratangarh",gcrtgrh@gmail.com,Churu,"Sardar Shehar Road,ratangarh",1567223150,Both (Hindi & English)
125,"Government College, Govindgarh",gcgalwar1998@gmail.com,Alwar,Govindgarh Alwar Rajasthan 301604,9799296249,Both (Hindi & English)
126,"Government Girls College, Nagaur",govt.girlscollegenagaur@gmail.com,Nagaur,Near S P Bunglow NAGAUR RAJ.,9460845361,Both (Hindi & English)
127,"S.C.M. Government College, Mandalgarh",mandalgarh.govtcollege@gmail.com,Bhilwara,Mandalgarh,9828387708,Both (Hindi & English)
128,"Government College, Malpura",principal.gcmalpura@gmail.com,Tonk,"Govt. College, Ajmer Road, Malpura Tonk",9828277690,Both (Hindi & English)
129,"Government College, Uniara",collegeuniara@rediffmail.com,Tonk,"Govt. college, Uniara Tonk",9783825282,Both (Hindi & English)
130,GOVT. GIRLS COLLEGE BAYANA (BHARATPUR),govtgirlscollegebayana@gmail.com,Bharatpur,Government Girls College Bayana,9929663286,Both (Hindi & English)
131,GOVT. COLLEGE BAYANA,govtcollegebayana@gmail.com,Bharatpur,"Weir Road, Bayana, Bharatpur",9413311941,Both (Hindi & English)
132,"Govt. College, Merta City",principalgovtcollegemertacity@gmail.com,Nagaur,GOVT.COLLEGE MERTA CITY,9413242744,Both (Hindi & English)
133,"Government Girls College, Karauli",govt.girlscollegekarauli@yahoo.in,Karauli,Govt Girls College  nr. PG college,9571631236,Both (Hindi & English)
134,"Government College, Jaipur",govtcollegejaipur@yahoo.co.in,Jaipur,Poddar School PremisesGandhi NagarJaipur,9314062555,Both (Hindi & English)
135,"Government College, Jodhpur",gcjodhpur@gmail.com,Jodhpur,"Choupasani Housing Board, Pahala Pulia, Jodhpur (Raj.)",9460775428,Both (Hindi & English)
136,"Govt College, Asind",gcasind2013@gmail.com,Bhilwara,Asind,9784289616,Both (Hindi & English)
137,"Govt College, Raipur",govtcollegeraipur@gmail.com,Bhilwara,Raipur,9950992392,Both (Hindi & English)
138,Govt. College Lunkaransar,govt.collegelksr@rediffmail.com,Bikaner,Lunkaransar,9413467330,Both (Hindi & English)
139,GOVT COLLEGE KAPASAN,govtcollegekapasan@gmail.com,Chittorgarh,KAPASAN,8764098573,Both (Hindi & English)
140,"Government College Gudha, Jhunjhunu",governmentcollegegudha@gmail.com,Jhunjhunu,Jhunjhunu,9414315603,Both (Hindi & English)
141,Govt. College Nawalgarh Jhunjhunu,govtcollegenawalgarh@gmail.com,Jhunjhunu,Jhunjhunu,9314138627,Both (Hindi & English)
142,GOVT COLLEGE BALESAR JODHPUR,gcbalesar@gmail.com,Jodhpur,JODHPUR,9414295071,Both (Hindi & English)
143,Govt. College Bilara,govt.collegebilara@yahoo.com,Jodhpur,"Bilara , Jodhpur",9252926712,Both (Hindi & English)
144,GOVT. COLLEGE NADAUTI KARAULI,govtcollegenadauti@gmail.com,Karauli,SMT. PREMLATA SAINI,9461137255,Both (Hindi & English)
145,"GOVT.COLLEGE , TODABHIM",govtcollegetodabhim151@mail.com,Karauli,TODABHIM,9414401015,Both (Hindi & English)
146,GOVT.COLLEGE Saptora,gc.sapotra@gmail.com,Karauli,Saptora,7568729387,Both (Hindi & English)
147,GOVT.COLLEGE SANGOD,principal.gcsangod@gmail.com,Kota,SANGOD,9414938026,Both (Hindi & English)
148,GOVT.COLLEGE JAYAL NAGAUR,gcjayal102013@gmail.com,Nagaur,NAGAUR,8823902226,Both (Hindi & English)
149,GOVT COLLEGE BALI,govtcollegebali@gmail.com,Pali,BALI,9414377840,Both (Hindi & English)
150,"Govt. College DHARIYAAD, Dist. PRATAPGARH Raj.",gcdp.13@gmail.com,Pratapgarh,PRATAPGARH,9414620141,Both (Hindi & English)
151,"Government College ,Devgarh",gcdevgarh@gmail.com,Rajsamand,Devgarh,9929050417,Both (Hindi & English)
152,Govt. College Bamanwas  Sawai Madhopur,principalbamanwas@gmail.com,Sawai Madhopur,Bamanwas  Sawai Madhopur,9460638394,Both (Hindi & English)
153,GOVERNMENT GIRLS COLLEGE HOD,govtgirlscollegehod@gmail.com,Sikar,HOD,9460069946,Both (Hindi & English)
154,GOVT GIRLS COLLEGE SIKAR,ggcsikar@gmail.com,Sikar,SIKAR,9929162033,Both (Hindi & English)
155,"GOVERNMENT COLLEGE, NEWAI",govtcollegenewai@gmail.com,Tonk,NEWAI,9414058612,Both (Hindi & English)
156,"GOVERNMENT COLLEGE, JHADOL, DIST UDAIPUR",govtcollegejhadol@yahoo.in,Udaipur,UDAIPUR,9414181430,Both (Hindi & English)
157,"Government College, Sarada  Udaipur",govtcollegesarada@gmail.com,Udaipur,Sarada  Udaipur,9414725313,Both (Hindi & English)
158,Govt. Girls College Kherewara Udaipur,govtgirlscollege.kherwara@gmail.com,Udaipur,Kherewara Udaipur,9414725313,Both (Hindi & English)
159,"GOVT. COLLEGE, RAJGARH, CHURU",gcrchuru@gmail.com,Churu,"RAJGARH, CHURU",9460537194,Both (Hindi & English)
160,"GOVT. GIRLS COLLEGE, LALSOT",ggclalsot2013@gmail.com,Dausa,LALSOT,9414329217,Both (Hindi & English)
161,"GOVERNMENT COLLEGE SIKRAI, DAUSA",gcsikrai@gmail.com,Dausa,SIKRAI,9460234976,Both (Hindi & English)
162,"Govt.College Bari,Dholpur",govt.collegebari15@gmail.com,Dhaulpur,Bari,9462354810,Both (Hindi & English)
163,GOVT Girls College Dholpur,girlscollegedholpur@gmail.com,Dhaulpur,Dholpur,9829154463,Both (Hindi & English)
164,"GOVERNMENT COLLEGE, ANOOPGARH",principalgovtcollegeanoopharh@gmail.com,Sri Ganganagar,ANOOPGARH,9414382197,Both (Hindi & English)
165,GOVT.COLLEGE POKARAN,gcpok@rediffmail.com,Jaisalmer,POKARAN,9928202119,Both (Hindi & English)
166,GOVT. COLLEGE PUSHKAR,principalgcpushkar@gmail.com,Ajmer,PUSHKAR,9829982856,Both (Hindi & English)
167,"Govt. Girls College ,Sarwar(Ajmer)",ggcsarwar@gmail.com,Ajmer,"Sarwar,Ajmer",9530202022,Both (Hindi & English)
168,"GOVERMENT COLLEGE,TIJARA,ALWAR",govtcollegetijara@gmail.com,Alwar,"TIJARA,ALWAR",9414292631,Both (Hindi & English)
169,"GOVT.COLLEGE,BAYTU(BARMER)",gcbaytu2014@gmail.com,Barmer,"BAYTU,BARMER",9461478078,Both (Hindi & English)
170,GOVT. COLLEGE GUDAMALANI,gcgudamalani@gmail.com,Barmer,Gudamalani(Barmer),9413810221,Both (Hindi & English)
171,"Govt. College, Ahore",govtcollegeahore@gmail.com,Jalore,Jalore,9414588210,Both (Hindi & English)
172,"Govt. College, Degana",govtcollegedegana@gmail.com,Nagaur,Nagaur,9461123519,Both (Hindi & English)
173,"Govt. College, Siwana",gcsiwana@gmail.com,Barmer,-,7221886390,Both (Hindi & English)
174,"Govt. College, Chau Mahala",gcchaumahala@gmail.com,Jhalawar,-,9414330397,Both (Hindi & English)
175,"Govt. College, Chhabra ",principalgcchhabra@gmail.com,Baran,-,9829313456,Both (Hindi & English)
176,"Govt. College, Chhoti Sadri",gcchhotisadri@gmail.com,Pratapgarh,-,9460003193,Both (Hindi & English)
177,"Govt. College, Gogunda",gcgogunda@gmail.com,Udaipur,-,9414725313,Both (Hindi & English)
178,"Govt. College, Karanpur",gckaranpur@gmail.com,Sri Ganganagar,-,9414089789,Both (Hindi & English)
179,"Govt. College, Khajuwala",gckhajuwala@gmail.com,Bikaner,-,9414242977,Both (Hindi & English)
180,"Govt. College, Khinwsar",gckhivnsar@gmail.com,Nagaur,-,9461123519,Both (Hindi & English)
181,"Govt. College, Manglana",gcmanglana@gmail.com,Nagaur,-,7597801390,Both (Hindi & English)
182,"Govt. College, Mangrol ",gcmangrol@gmail.com,Baran,-,9414488044,Both (Hindi & English)
183,"Govt. College, Pidawa",gcpirawa@gmail.com,Jhalawar,-,8740954641,Both (Hindi & English)
184,"Govt. College, Rawatbhata",rawatbhatacollege2016@gmail.com,Chittorgarh,-,9413641772,Both (Hindi & English)
185,"Govt. College, Rajakhera",collegerajakhera@rediffmail.com,Dhaulpur,-,9414268868,Both (Hindi & English)
186,"Govt. College, Mahua",gcmahuwa@gmail.com,Dausa,Dausa,9414261630,Both (Hindi & English)
187,"Govt. College, Khandar",gckhandar@gmail.com,Sawai Madhopur,Sawai Madhopur,9414058105,Both (Hindi & English)
188,"Govt. College, Manoharthana",gcmanoharthana@gmail.com,Jhalawar,Jhalawar,9414939132,Both (Hindi & English)
189,"Govt. College, Osian",gcosian2015@gmail.com,Jodhpur,Jodhpur,9772117232,Both (Hindi & English)
190,"Govt. College, Sumerpur",gc.sumerpur@gmail.com,Pali,Pali,8559957535,Both (Hindi & English)
191,"Agriculture University, Jodhpur",test@agunivjodhpur.com,Jodhpur,"Agriculture University, Mandor , Jodhpur",,Both (Hindi & English)
